age,gender,location_type,region,candidate,use_viber,education,income,early_voting
31-40,Мужской,Город,Минская,Против всех,True,Среднее специальное,Не хочу отвечать на этот вопрос,Затрудняюсь ответить
31-40,Мужской,Город,Минская,Тихановская,True,Высшее,Выше 2000 бел.руб.,Нет
18-30,Мужской,Город,Минская,Тихановская,True,Среднее специальное,Выше 2000 бел.руб.,Нет
18-30,Мужской,Город,Гомельская,Тихановская,True,Другое,Не хочу отвечать на этот вопрос,Нет
18-30,Женский,Город,Могилевская,Лукашенко,False,Профессионально-техническое,500 - 1000 бел. руб.,Затрудняюсь ответить
31-40,Мужской,Город,Минская,Тихановская,False,Высшее,Выше 2000 бел.руб.,Нет
18-30,Женский,Город,Гомельская,Тихановская,False,Среднее специальное,Не хочу отвечать на этот вопрос,Нет
старше 60,Женский,Город,Минск,Лукашенко,False,Среднее специальное,500 - 1000 бел. руб.,Затрудняюсь ответить
51-60,Женский,Город,Минск,Тихановская,True,Высшее,1000 - 2000 бел. руб.,Нет
старше 60,Мужской,Город,Гомельская,Лукашенко,False,Профессионально-техническое,500 - 1000 бел. руб.,Нет
51-60,Мужской,Город,Гомельская,Лукашенко,False,Среднее специальное,500 - 1000 бел. руб.,Да
51-60,Мужской,Город,Гомельская,Тихановская,True,Высшее,500 - 1000 бел. руб.,Нет
41-50,Женский,Город,Гомельская,Тихановская,True,Высшее,Не хочу отвечать на этот вопрос,Нет
41-50,Мужской,Город,Витебская,Тихановская,True,Профессионально-техническое,1000 - 2000 бел. руб.,Нет
31-40,Мужской,Город,Витебская,Тихановская,True,Базовое / Среднее общее (школа),Не хочу отвечать на этот вопрос,Нет
31-40,Женский,Город,Витебская,,True,Базовое / Среднее общее (школа),Не хочу отвечать на этот вопрос,Да
41-50,Женский,Город,Гомельская,Тихановская,True,Базовое / Среднее общее (школа),Не хочу отвечать на этот вопрос,Нет
18-30,Женский,Город,Гомельская,Тихановская,True,Базовое / Среднее общее (школа),500 - 1000 бел. руб.,Нет
18-30,Женский,Город,Гомельская,Тихановская,True,Высшее,До 500 бел. руб.,Нет
18-30,Женский,Город,Гомельская,Тихановская,False,Среднее специальное,500 - 1000 бел. руб.,Нет
31-40,Женский,Город,Гомельская,Тихановская,False,Профессионально-техническое,500 - 1000 бел. руб.,Нет
41-50,Мужской,Город,Гомельская,Тихановская,False,Высшее,1000 - 2000 бел. руб.,Нет
51-60,Мужской,Город,Гомельская,Тихановская,False,Профессионально-техническое,До 500 бел. руб.,Нет
51-60,Мужской,Город,Гомельская,Тихановская,False,Среднее специальное,500 - 1000 бел. руб.,Нет
51-60,Женский,Город,Гомельская,Тихановская,False,Профессионально-техническое,До 500 бел. руб.,Нет
31-40,Женский,Город,Гомельская,Тихановская,True,Профессионально-техническое,1000 - 2000 бел. руб.,Нет
41-50,Женский,Город,Гомельская,,True,Высшее,Не хочу отвечать на этот вопрос,Нет
31-40,Женский,Село,Брестская,Лукашенко,True,Базовое / Среднее общее (школа),500 - 1000 бел. руб.,Нет
31-40,Мужской,Город,Минская,Тихановская,True,Среднее специальное,500 - 1000 бел. руб.,Нет
старше 60,Женский,Город,Минская,Лукашенко,False,Другое,Не хочу отвечать на этот вопрос,Нет
51-60,Женский,Город,Брестская,Дмитриев,True,Высшее,500 - 1000 бел. руб.,Нет
старше 60,Женский,Город,Минск,Против всех,True,Высшее,1000 - 2000 бел. руб.,Нет
31-40,Мужской,Город,Минская,Тихановская,True,Среднее специальное,500 - 1000 бел. руб.,Нет
41-50,Мужской,Село,Брестская,Тихановская,True,Высшее,500 - 1000 бел. руб.,Нет
31-40,Женский,Город,Минская,Тихановская,True,Высшее,500 - 1000 бел. руб.,Нет
31-40,Мужской,Город,Минск,Против всех,True,Высшее,Не хочу отвечать на этот вопрос,Нет
18-30,Мужской,Город,Минск,Тихановская,True,Среднее специальное,500 - 1000 бел. руб.,Нет
18-30,Мужской,Город,Минск,Тихановская,True,Среднее специальное,500 - 1000 бел. руб.,Нет
старше 60,Женский,Город,Минская,Тихановская,False,Профессионально-техническое,1000 - 2000 бел. руб.,Нет
41-50,Женский,Город,Минск,Тихановская,True,Высшее,Выше 2000 бел.руб.,Нет
41-50,Женский,Город,Минск,,True,Среднее специальное,500 - 1000 бел. руб.,Нет
