Timestamp,Вы из этого населенного пункта? (указываем название нас пункта),"Скажите, пожалуйста, какой у Вас возраст",Укажите пол,Пойдёте ли на президентские выборы?,Будете голосовать досрочно?,За кого планируете голосовать/проголосовали?,Ваш уровень образования?,"Сообщите, пожалуйста, совокупный месячный доход Вашей семьи в бел.руб.",Какими инструментами коммуникации Вы пользуетесь?,Код волонтёра ,Произвольный комментарий волонтера,тип нп,регион
8/3/2020 21:58:10,Минск,старше 60,Жен,Затрудняюсь ответить,Затрудняюсь ответить,Лукашенко,Среднее специальное,500 - 1000,"Телевидение, Бумажная пресса",56,Опрашиваемой 96 лет,город,7
8/3/2020 22:00:23,Минск,51-60,Жен,Да,Нет,Тихановская,Высшее,1000 - 2000,"Viber, Telegram, Youtube",56,,город,7
8/4/2020 9:15:20,Речица ,старше 60,Муж,Да,Нет,Лукашенко,Профессионально-техническое,500 - 1000,"Телевидение, Бумажная пресса",69,,город,3
8/4/2020 9:20:58,Речица ,51-60,Муж,Да,Да,Лукашенко,Среднее специальное,500 - 1000,Телевидение,69,,город,3
8/4/2020 9:24:00,Речица ,51-60,Муж,Да,Нет,Тихановская,Высшее,500 - 1000,"Телевидение, Viber, Вконтакте, Youtube",69,,город,3
8/4/2020 9:59:51,Гомель,41-50,Жен,Да,Нет,Тихановская,Высшее,Не хочу отвечать на этот вопрос,"Радио, Телевидение, Viber, Youtube",81,,город,3
8/4/2020 12:24:29,Новополоцк,41-50,Муж,Да,Нет,Тихановская,Профессионально-техническое,1000 - 2000,"Viber, Telegram, Одноклассники, Вконтакте, Youtube",84,,город,2
8/4/2020 13:09:36,Полоцк,31-40,Муж,Нет,Нет,Тихановская,Базовое \ Среднее,Не хочу отвечать на этот вопрос,"Радио, Телевидение, Viber, Одноклассники, Вконтакте, Youtube",84,"на выборы не пойдет. но если бы пошел, голосовал бы за Тихановскую.",город,2
8/4/2020 13:38:20,Полоцк,31-40,Жен,Да,Да,Затрудняюсь ответить,Базовое \ Среднее,Не хочу отвечать на этот вопрос,"Телевидение, Viber, Одноклассники, Youtube, фейсбук",84,,город,2
8/4/2020 13:49:01,Жлобин,41-50,Жен,Да,Нет,Тихановская,Базовое \ Среднее,Не хочу отвечать на этот вопрос,"Радио, Телевидение, Viber, Одноклассники, Вконтакте, Youtube",13,,город,3
8/4/2020 13:49:45,Жлобин,18-30,Жен,Да,Нет,Тихановская,Базовое \ Среднее,500 - 1000,"Viber, Telegram, Вконтакте, Youtube",13,,город,3
8/4/2020 13:50:32,Жлобин,18-30,Жен,Да,Нет,Тихановская,Высшее,До 500,"Viber, Telegram, Одноклассники, Вконтакте, Youtube",13,,город,3
8/4/2020 13:51:22,Жлобин,18-30,Жен,Да,Нет,Тихановская,Среднее специальное,500 - 1000,"Радио, Telegram, Вконтакте, Youtube",13,,город,3
8/4/2020 13:52:18,Жлобин,31-40,Жен,Да,Нет,Тихановская,Профессионально-техническое,500 - 1000,Telegram,13,,город,3
8/4/2020 13:53:01,Жлобин,41-50,Муж,Да,Нет,Тихановская,Высшее,1000 - 2000,Telegram,13,,город,3
8/4/2020 13:53:55,Жлобин,51-60,Муж,Да,Нет,Тихановская,Профессионально-техническое,До 500,"Телевидение, Telegram, Youtube",13,,город,3
8/4/2020 13:54:44,Жлобин ,51-60,Муж,Да,Нет,Тихановская,Среднее специальное,500 - 1000,"Радио, Телевидение, Youtube",13,,город,3
8/4/2020 13:56:26,Жлобин,51-60,Жен,Да,Нет,Тихановская,Профессионально-техническое,До 500,"Радио, Телевидение, Одноклассники",13,,город,3
8/4/2020 13:59:17,Жлобин,31-40,Жен,Да,Нет,Тихановская,Профессионально-техническое,1000 - 2000,Viber,13,,город,3
8/4/2020 14:28:25,Жлобин,41-50,Жен,Да,Нет,Затрудняюсь ответить,Высшее,Не хочу отвечать на этот вопрос,"Радио, Телевидение, Бумажная пресса, Viber, Telegram, Одноклассники, Вконтакте, Youtube",13,,город,3
8/4/2020 15:06:46,"Д.Б. Мотыкалы, Брестский район",31-40,Жен,Да,Нет,Лукашенко,Базовое \ Среднее,500 - 1000,"Радио, Телевидение, Viber, Одноклассники, Youtube",29,,село,1
8/4/2020 15:15:44,Солигорск ,31-40,Муж,Да,Нет,Тихановская,Среднее специальное,500 - 1000,"Viber, Вконтакте, Youtube",80,Солигорск 03 Августа 15:15,город,5
8/4/2020 15:21:30,Солигорск ,старше 60,Жен,Да,Нет,Лукашенко,Другое \ не хочу отвечать,Не хочу отвечать на этот вопрос,"Радио, Телевидение",80,Солигорск 04Августа 15:20,город,5
