region,location_type,gernder,age,education,count
Гомельская,Село,Женский,31-40,Среднее специальное,7158
Гомельская,Село,Женский,31-40,Профессионально-техническое,3719
Гомельская,Село,Женский,31-40,Базовое / Среднее общее (школа),8807
Гомельская,Село,Женский,31-40,Другое,383
Гомельская,Село,Женский,41-50,Высшее,2934
Гомельская,Село,Женский,41-50,Среднее специальное,9562
Гомельская,Село,Женский,41-50,Профессионально-техническое,4680
Гомельская,Село,Женский,41-50,Базовое / Среднее общее (школа),10336
Гомельская,Село,Женский,41-50,Другое,382
Гомельская,Село,Женский,51-60,Высшее,2660
Гомельская,Село,Женский,51-60,Среднее специальное,7650
Гомельская,Село,Женский,51-60,Профессионально-техническое,2966
Гомельская,Село,Женский,51-60,Базовое / Среднее общее (школа),11894
Гомельская,Село,Женский,51-60,Другое,765
Гомельская,Село,Женский,старше 60,Высшее,2443
Гомельская,Село,Женский,старше 60,Среднее специальное,5151
Гомельская,Село,Женский,старше 60,Профессионально-техническое,1178
Гомельская,Село,Женский,старше 60,Базовое / Среднее общее (школа),18157
Гомельская,Село,Женский,старше 60,Другое,39068
Витебская,Город,Мужской,18-30,Высшее,12933
Витебская,Город,Мужской,18-30,Среднее специальное,27954
Витебская,Город,Мужской,18-30,Профессионально-техническое,16713
Витебская,Город,Мужской,18-30,Базовое / Среднее общее (школа),34311
Витебская,Город,Мужской,18-30,Другое,475
Витебская,Город,Мужской,31-40,Высшее,12916
Витебская,Город,Мужской,31-40,Среднее специальное,22004
Витебская,Город,Мужской,31-40,Профессионально-техническое,11216
Витебская,Город,Мужской,31-40,Базовое / Среднее общее (школа),14740
Витебская,Город,Мужской,31-40,Другое,293
Витебская,Город,Мужской,41-50,Высшее,12628
Витебская,Город,Мужской,41-50,Среднее специальное,21872
Витебская,Город,Мужской,41-50,Профессионально-техническое,12050
Витебская,Город,Мужской,41-50,Базовое / Среднее общее (школа),16570
Витебская,Город,Мужской,41-50,Другое,186
Витебская,Город,Мужской,51-60,Высшее,11455
Витебская,Город,Мужской,51-60,Среднее специальное,16799
Витебская,Город,Мужской,51-60,Профессионально-техническое,9028
Витебская,Город,Мужской,51-60,Базовое / Среднее общее (школа),18374
Витебская,Город,Мужской,51-60,Другое,347
Витебская,Город,Мужской,старше 60,Высшее,9581
Витебская,Город,Мужской,старше 60,Среднее специальное,10265
Витебская,Город,Мужской,старше 60,Профессионально-техническое,4758
Витебская,Город,Мужской,старше 60,Базовое / Среднее общее (школа),16820
Витебская,Город,Мужской,старше 60,Другое,6765
Витебская,Город,Женский,18-30,Высшее,20078
Витебская,Город,Женский,18-30,Среднее специальное,28292
Витебская,Город,Женский,18-30,Профессионально-техническое,10249
Витебская,Город,Женский,18-30,Базовое / Среднее общее (школа),32168
Витебская,Город,Женский,18-30,Другое,245
Витебская,Город,Женский,31-40,Высшее,19354
Витебская,Город,Женский,31-40,Среднее специальное,28144
Витебская,Город,Женский,31-40,Профессионально-техническое,8594
Витебская,Город,Женский,31-40,Базовое / Среднее общее (школа),9079
Витебская,Город,Женский,31-40,Другое,165
Витебская,Город,Женский,41-50,Высшее,18830
